question,sql,table_name
How many orders were delivered for each material where the reporting unit of measure (UOM) is 'Tons'?," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Reporting UOM"" = 'T' GROUP BY ""Material""; ",hanz_sales
What's the total reported quantity for each destination where the reporting unit of measure (UOM) is 'Tons'?," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Reporting UOM"" = 'T' GROUP BY ""Ship-to party""; ",hanz_sales
"How many orders were delivered for each destination where the delivery date is after January 3, 2022?"," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" > '2022-01-03' GROUP BY ""Ship-to party""; ",hanz_sales
"What's the total reported quantity for each material where the delivery date is before January 4, 2022?"," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Del.Date"" < '2022-01-04' GROUP BY ""Material""; ",hanz_sales
How many orders were delivered for each material to destination 'xxxxxxONEHU'?," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxONEHU' GROUP BY ""Material""; ",hanz_sales
What's the total reported quantity for each material delivered to destination 'xxxxxxONEHU'?," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxONEHU' GROUP BY ""Material""; ",hanz_sales
How many orders were delivered for each destination where the material description is null or empty?," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Material-Description"" IS NULL OR TRIM(""Material-Description"") = '' GROUP BY ""Ship-to party""; ",hanz_sales
What's the total reported quantity for each material where the material description is null or empty?," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Material-Description"" IS NULL OR TRIM(""Material-Description"") = '' GROUP BY ""Material""; ",hanz_sales
"How many orders were delivered for each destination where the delivery date is in January 2022, and the reported quantity is greater than 10 tons?"," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' AND ""Rpt Qty"" > 10 GROUP BY ""Ship-to party""; ",hanz_sales
"What's the total reported quantity for each material where the delivery date is in January 2022, and the reported quantity is greater than 10 tons?"," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' AND ""Rpt Qty"" > 10 GROUP BY ""Material""; ",hanz_sales
 What is the total reported quantity for the material '520110'? ," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Material"" = '520110'; ",hanz_sales
 How many unique ship-to parties are there in the sales data? ," SELECT COUNT(DISTINCT ""Ship-to party"") AS unique_ship_to_parties_count FROM hanz_sales; ",hanz_sales
 What is the average reported quantity for each material description? ," SELECT ""Material-Description"", AVG(""Rpt Qty"") AS average_reported_quantity FROM hanz_sales GROUP BY ""Material-Description""; ",hanz_sales
 What is the total reported quantity for the ship-to party 'xxxxxxONEHU'? ," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxONEHU'; ",hanz_sales
" How many orders were delivered on January 5, 2022? "," SELECT COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05'; ",hanz_sales
" What is the total reported quantity for the material '521110' delivered on January 5, 2022? "," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Material"" = '521110' AND ""Del.Date"" = '2022-01-05'; ",hanz_sales
 What are the distinct material descriptions available in the sales data? ," SELECT DISTINCT ""Material-Description"" FROM hanz_sales; ",hanz_sales
 How many orders were delivered for each material description? ," SELECT ""Material-Description"", COUNT(*) AS order_count FROM hanz_sales GROUP BY ""Material-Description""; ",hanz_sales
 What is the total reported quantity for each ship-to party? ," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales GROUP BY ""Ship-to party""; ",hanz_sales
 What is the average reported quantity for each material and ship-to party combination? ," SELECT ""Material"", ""Ship-to party"", AVG(""Rpt Qty"") AS average_reported_quantity FROM hanz_sales GROUP BY ""Material"", ""Ship-to party""; ",hanz_sales
 How many orders were delivered for the material '521110'? ," SELECT COUNT(*) AS order_count FROM hanz_sales WHERE ""Material"" = '521110'; ",hanz_sales
 What is the total reported quantity for orders delivered in January 2022? ," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01'; ",hanz_sales
 How many unique materials were sold? ," SELECT COUNT(DISTINCT ""Material"") AS unique_materials_count FROM hanz_sales; ",hanz_sales
 What is the total reported quantity for the ship-to party 'xxxxxxDUNED' for each material description? ," SELECT ""Material-Description"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxDUNED' GROUP BY ""Material-Description""; ",hanz_sales
 How many orders were delivered for each reporting unit of measure (UOM)? ," SELECT ""Reporting UOM"", COUNT(*) AS order_count FROM hanz_sales GROUP BY ""Reporting UOM""; ",hanz_sales
 What is the total reported quantity for orders delivered to each ship-to party in January 2022? ," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' GROUP BY ""Ship-to party""; ",hanz_sales
" How many orders were delivered for each material on January 5, 2022? "," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05' GROUP BY ""Material""; ",hanz_sales
 What is the total reported quantity for each material delivered in January 2022? ," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' GROUP BY ""Material""; ",hanz_sales
" How many orders were delivered for each ship-to party on January 5, 2022? "," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05' GROUP BY ""Ship-to party""; ",hanz_sales
" What is the total reported quantity for each material delivered on January 5, 2022? "," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05' GROUP BY ""Material""; ",hanz_sales
" How many orders were delivered for the material '520110' on January 5, 2022, to each ship-to party? "," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Material"" = '520110' AND ""Del.Date"" = '2022-01-05' GROUP BY ""Ship-to party""; ",hanz_sales
" What is the total reported quantity for each material delivered in January 2022, considering different ship-to parties? "," SELECT ""Material"", ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' GROUP BY ""Material"", ""Ship-to party""; ",hanz_sales
 How many unique ship-to parties received the material '520110'? ," SELECT COUNT(DISTINCT ""Ship-to party"") AS unique_ship_to_parties_count FROM hanz_sales WHERE ""Material"" = '520110'; ",hanz_sales
 What is the average reported quantity for each ship-to party? ," SELECT ""Ship-to party"", AVG(""Rpt Qty"") AS average_reported_quantity FROM hanz_sales GROUP BY ""Ship-to party""; ",hanz_sales
 How many orders were delivered for materials with the description containing the word 'cement'? ," SELECT COUNT(*) AS order_count FROM hanz_sales WHERE LOWER(""Material-Description"") LIKE '%cement%'; ",hanz_sales
 What is the total reported quantity for each material containing the word 'packing' in its description? ," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE LOWER(""Material-Description"") LIKE '%packing%' GROUP BY ""Material""; ",hanz_sales
 How many orders were delivered for each material where the reported quantity is greater than 10 tons? ," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Rpt Qty"" > 10 GROUP BY ""Material""; ",hanz_sales
 What is the total reported quantity for each ship-to party where the reported quantity is less than 1 ton? ," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Rpt Qty"" < 1 GROUP BY ""Ship-to party""; ",hanz_sales
" How many orders were delivered for each material on January 1, 2022? "," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-01' GROUP BY ""Material""; ",hanz_sales
" What is the total reported quantity for each ship-to party on January 1, 2022? "," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Del.Date"" = '2022-01-01' GROUP BY ""Ship-to party""; ",hanz_sales
 How many orders were delivered for each material where the reporting unit of measure (UOM) is 'Tons'? ," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Reporting UOM"" = 'T' GROUP BY ""Material""; ",hanz_sales
 What is the total reported quantity for each ship-to party where the reporting unit of measure (UOM) is 'Tons'? ," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Reporting UOM"" = 'T' GROUP BY ""Ship-to party""; ",hanz_sales
" How many orders were delivered for each ship-to party where the delivery date is after January 3, 2022? "," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" > '2022-01-03' GROUP BY ""Ship-to party""; ",hanz_sales
" What is the total reported quantity for each material where the delivery date is before January 4, 2022? "," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Del.Date"" < '2022-01-04' GROUP BY ""Material""; ",hanz_sales
 How many orders were delivered for each material to the ship-to party 'xxxxxxONEHU'? ," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxONEHU' GROUP BY ""Material""; ",hanz_sales
 What is the total reported quantity for each material delivered to the ship-to party 'xxxxxxONEHU'? ," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxONEHU' GROUP BY ""Material""; ",hanz_sales
 How many orders were delivered for each ship-to party where the material description is null or empty? ," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Material-Description"" IS NULL OR TRIM(""Material-Description"") = '' GROUP BY ""Ship-to party""; ",hanz_sales
 What is the total reported quantity for each material where the material description is null or empty? ," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Material-Description"" IS NULL OR TRIM(""Material-Description"") = '' GROUP BY ""Material""; ",hanz_sales
 How many orders were delivered for each ship-to party where the delivery date is in January 2022 and the reported quantity is greater than 10 tons? ," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' AND ""Rpt Qty"" > 10 GROUP BY ""Ship-to party""; ",hanz_sales
 What is the total reported quantity for each material where the delivery date is in January 2022 and the reported quantity is greater than 10 tons? ," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' AND ""Rpt Qty"" > 10 GROUP BY ""Material""; ",hanz_sales
" What is the total sales value for the orders billed on January 6, 2025? ", SELECT SUM(sales_net_value) AS total_sales_value FROM au_rmx WHERE billing_date = '2025-01-06'; ,au_rmx
 How many orders were delivered to the region 'MAH'? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE ship_to_region = 'MAH'; ,au_rmx
 What is the average quantity of material ordered? , SELECT AVG(quantity) AS average_quantity_ordered FROM au_rmx; ,au_rmx
 Which customer placed the order with the highest sales value? , SELECT ship_to_name FROM au_rmx ORDER BY sales_net_value DESC LIMIT 1; ,au_rmx
 How many orders were billed by 'Dylan' (account manager)? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE account_manager = 'Dylan'; ,au_rmx
 What is the total freight revenue for orders delivered in January 2025? ," SELECT SUM(freight_revenue) AS total_freight_revenue FROM au_rmx WHERE strftime('%Y', del_date) = '2025' and strftime('%m', del_date) = '01'; ",au_rmx
 Which plant manufactured the material 'ABCD2FBHP'? , SELECT plant_name FROM au_rmx WHERE material = 'ABCD2FBHP'; ,au_rmx
 How many orders have a delivery date before their order date? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE del_date < ord_create; ,au_rmx
 What is the total cost for all the orders? , SELECT SUM(cost) AS total_cost FROM au_rmx; ,au_rmx
 Which sales office had the highest total sales value? , SELECT sales_office_desc FROM au_rmx GROUP BY sales_office_desc ORDER BY SUM(sales_net_value) DESC LIMIT 1; ,au_rmx
 What is the material description for the order with billing document number '2523830102'? , SELECT material_description FROM au_rmx WHERE billing_document = '2523830102'; ,au_rmx
 How many orders were placed by the customer 'XXXXX PRECAST SOLUTIONS'? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE ship_to_name = 'XXXXX PRECAST SOLUTIONS'; ,au_rmx
 What is the average sales net value for orders delivered in each region? ," SELECT ship_to_region, AVG(sales_net_value) AS average_sales_net_value FROM au_rmx GROUP BY ship_to_region; ",au_rmx
" Which orders were billed between January 1, 2025, and January 15, 2025? ", SELECT * FROM au_rmx WHERE billing_date BETWEEN '2025-01-01' AND '2025-01-15'; ,au_rmx
 What is the total quantity of material ordered by 'Dylan' (account manager)? , SELECT SUM(quantity) AS total_quantity_ordered FROM au_rmx WHERE account_manager = 'Dylan'; ,au_rmx
 How many unique materials were ordered? , SELECT COUNT(DISTINCT material) AS unique_materials_count FROM au_rmx; ,au_rmx
 What is the highest sales value for a single order? , SELECT MAX(sales_net_value) AS highest_sales_value FROM au_rmx; ,au_rmx
 Which orders have a delivery date in the year 2025? ," SELECT * FROM au_rmx WHERE strftime('%Y', del_date) = '2025'; ",au_rmx
 How many orders were placed by the sales office 'Soffice_s Q & C'? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE sales_office_desc = 'Soffice_s Q & C'; ,au_rmx
" What is the total quantity of material ordered for orders with a delivery date on January 10, 2025? ", SELECT SUM(quantity) AS total_quantity_ordered FROM au_rmx WHERE del_date = '2025-01-10'; ,au_rmx
 What is the total quantity of material ordered by each customer? ," SELECT ship_to_name, SUM(quantity) AS total_quantity_ordered FROM au_rmx GROUP BY ship_to_name; ",au_rmx
 Which orders have a billing date in January 2025 and a delivery date in February 2025? ," SELECT * FROM au_rmx WHERE strftime('%Y', billing_date) = '2025' AND strftime('%m', billing_date) = '01' AND strftime('%Y', del_date) = '2025' AND strftime('%m', del_date) = '02'; ",au_rmx
 How many orders were billed and delivered on the same day? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE billing_date = del_date; ,au_rmx
 What is the average cost of material for each plant? ," SELECT plant_name, AVG(cost) AS average_cost FROM au_rmx GROUP BY plant_name; ",au_rmx
 Which material has the highest total sales value? ," SELECT material, SUM(sales_net_value) AS total_sales_value FROM au_rmx GROUP BY material ORDER BY total_sales_value DESC LIMIT 1; ",au_rmx
 What is the total sales net value for orders delivered in each plant region? ," SELECT plant_region, SUM(sales_net_value) AS total_sales_net_value FROM au_rmx GROUP BY plant_region; ",au_rmx
 How many orders were placed by each sales office? ," SELECT sales_office_desc, COUNT(*) AS order_count FROM au_rmx GROUP BY sales_office_desc; ",au_rmx
 Which plant region had the highest total sales value? ," SELECT plant_region, SUM(sales_net_value) AS total_sales_value FROM au_rmx GROUP BY plant_region ORDER BY total_sales_value DESC LIMIT 1; ",au_rmx
 What is the total freight revenue for orders delivered by each sales office? ," SELECT sales_office_desc, SUM(freight_revenue) AS total_freight_revenue FROM au_rmx GROUP BY sales_office_desc; ",au_rmx
 How many orders were billed on each day in January 2025? ," SELECT strftime('%d', billing_date) AS billing_day, COUNT(*) AS order_count FROM au_rmx WHERE strftime('%Y', billing_date) = '2025' AND strftime('%m', billing_date) = '01' GROUP BY billing_day; ",au_rmx
 Which customer placed the order with the lowest sales value? , SELECT ship_to_name FROM au_rmx ORDER BY sales_net_value ASC LIMIT 1; ,au_rmx
 How many orders were placed for the material 'ABCD1SW65'? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE material = 'ABCD1SW65'; ,au_rmx
 What is the total quantity of material ordered for each plant region? ," SELECT plant_region, SUM(quantity) AS total_quantity_ordered FROM au_rmx GROUP BY plant_region; ",au_rmx
 How many unique customers placed orders? , SELECT COUNT(DISTINCT ship_to_name) AS unique_customers_count FROM au_rmx; ,au_rmx
 Which sales office had the highest average sales value per order? ," SELECT sales_office_desc, AVG(sales_net_value) AS average_sales_value FROM au_rmx GROUP BY sales_office_desc ORDER BY average_sales_value DESC LIMIT 1; ",au_rmx
" What is the total quantity of material ordered for orders delivered on January 10, 2025? ", SELECT SUM(quantity) AS total_quantity_ordered FROM au_rmx WHERE del_date = '2025-01-10'; ,au_rmx
" How many orders were billed on each weekday (Monday, Tuesday, etc.) in January 2025? "," SELECT strftime('%w', billing_date) AS weekday, COUNT(*) AS order_count FROM au_rmx WHERE strftime('%Y', billing_date) = '2025' AND strftime('%m', billing_date) = '01' GROUP BY weekday; ",au_rmx
 What is the total sales net value for orders delivered in each customer region? ," SELECT ship_to_region, SUM(sales_net_value) AS total_sales_net_value FROM au_rmx GROUP BY ship_to_region; ",au_rmx
 Which material was ordered the most in terms of quantity? ," SELECT material, SUM(quantity) AS total_quantity_ordered FROM au_rmx GROUP BY material ORDER BY total_quantity_ordered DESC LIMIT 1; ",au_rmx
 What is the average sales net value for orders delivered on each day of the week? ," SELECT strftime('%w', del_date) AS weekday, AVG(sales_net_value) AS average_sales_net_value FROM au_rmx GROUP BY weekday; ",au_rmx
 How many orders were placed in each year? ," SELECT strftime('%Y', ord_create) AS order_year, COUNT(*) AS order_count FROM au_rmx GROUP BY order_year; ",au_rmx
 Which orders were billed and delivered in the same month? ," SELECT * FROM au_rmx WHERE strftime('%Y', billing_date) = strftime('%Y', del_date) AND strftime('%m', billing_date) = strftime('%m', del_date); ",au_rmx
 Which plant had the highest total sales net value? ," SELECT plant_name, SUM(sales_net_value) AS total_sales_net_value FROM au_rmx GROUP BY plant_name ORDER BY total_sales_net_value DESC LIMIT 1; ",au_rmx
 How many orders have a material description containing the word 'CONCRETE'? , SELECT COUNT(*) AS order_count FROM au_rmx WHERE material_description LIKE '%CONCRETE%'; ,au_rmx
 What is the total sales net value for orders delivered in each month of January 2025? ," SELECT strftime('%d', del_date) AS day, SUM(sales_net_value) AS total_sales_net_value FROM au_rmx WHERE strftime('%Y', del_date) = '2025' AND strftime('%m', del_date) = '01' GROUP BY day; ",au_rmx
"Hey, how much money did we make from orders on January 6, 2025?",SELECT SUM(sales_net_value) AS total_sales_value FROM au_rmx WHERE billing_date = '2025-01-06';,au_rmx
Can you tell me how many orders were sent to the 'MAH' area?,SELECT COUNT(*) AS order_count FROM au_rmx WHERE ship_to_region = 'MAH';,au_rmx
What's the average amount of stuff people usually order?,SELECT AVG(quantity) AS average_quantity_ordered FROM au_rmx;,au_rmx
Do you know which customer spent the most money on their order?,SELECT ship_to_name FROM au_rmx ORDER BY sales_net_value DESC LIMIT 1;,au_rmx
How many orders did 'Dylan' (the account manager) bill?,SELECT COUNT(*) AS order_count FROM au_rmx WHERE account_manager = 'Dylan';,au_rmx
What's the total money we made from shipping orders in January 2025?,"SELECT SUM(freight_revenue) AS total_freight_revenue FROM au_rmx WHERE strftime('%Y', del_date) = '2025' and strftime('%m', del_date) = '01';",au_rmx
Do you know which factory made the 'ABCD2FBHP' material?,SELECT plant_name FROM au_rmx WHERE material = 'ABCD2FBHP';,au_rmx
How many orders have a delivery date earlier than the order date?,SELECT COUNT(*) AS order_count FROM au_rmx WHERE del_date < ord_create;,au_rmx
What's the overall cost for all our orders?,SELECT SUM(cost) AS total_cost FROM au_rmx;,au_rmx
Which sales office brought in the most money?,SELECT sales_office_desc FROM au_rmx GROUP BY sales_office_desc ORDER BY SUM(sales_net_value) DESC LIMIT 1;,au_rmx
Can you find the material description for the order with billing document number '2523830102'?,SELECT material_description FROM au_rmx WHERE billing_document = '2523830102';,au_rmx
How many orders did 'XXXXX PRECAST SOLUTIONS' place?,SELECT COUNT(*) AS order_count FROM au_rmx WHERE ship_to_name = 'XXXXX PRECAST SOLUTIONS';,au_rmx
What's the average net sales value for orders delivered in each region?,"SELECT ship_to_region, AVG(sales_net_value) AS average_sales_net_value FROM au_rmx GROUP BY ship_to_region;",au_rmx
"Tell me which orders were billed between January 1, 2025, and January 15, 2025.",SELECT * FROM au_rmx WHERE billing_date BETWEEN '2025-01-01' AND '2025-01-15';,au_rmx
How much material did 'Dylan' (the account manager) order in total?,SELECT SUM(quantity) AS total_quantity_ordered FROM au_rmx WHERE account_manager = 'Dylan';,au_rmx
Can you find out how many different materials were ordered?,SELECT COUNT(DISTINCT material) AS unique_materials_count FROM au_rmx;,au_rmx
What's the highest amount of money we earned from a single order?,SELECT MAX(sales_net_value) AS highest_sales_value FROM au_rmx;,au_rmx
Which orders have a delivery date in the year 2025?,"SELECT * FROM au_rmx WHERE strftime('%Y', del_date) = '2025';",au_rmx
How many orders were placed by the 'Soffice_s Q & C' sales office?,SELECT COUNT(*) AS order_count FROM au_rmx WHERE sales_office_desc = 'Soffice_s Q & C';,au_rmx
"What's the total amount of material ordered for orders with a delivery date on January 10, 2025?",SELECT SUM(quantity) AS total_quantity_ordered FROM au_rmx WHERE del_date = '2025-01-10';,au_rmx
How much material did each customer order in total?,"SELECT ship_to_name, SUM(quantity) AS total_quantity_ordered FROM au_rmx GROUP BY ship_to_name;",au_rmx
